location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:33,"Ich bin gekommen, um dir meine Dienste anzubieten.",我想为您服务。,,,DIA_Gomez_Fault.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:46,"Ich bin gekommen, um dir meine Dienste anzubieten.",我想为您服务。,,,DIA_Gomez_Fault_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:47,"Du platzt hier einfach rein und erwartest, dass ich mich mit dir befasse, du Wurm? WACHE!",你来这儿，以为我会关心你吗，你这个胆小鬼？守卫！,,,DIA_Gomez_Fault_11_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:67,"Ich bin gekommen, um dir meine Dienste anzubieten.",我来到这里是为了提供我的服务。,,,DIA_Gomez_Hello.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:80,"Ich bin gekommen, um dir meine Dienste anzubieten.",我来到这里是为了提供我的服务。,,,DIA_Gomez_Hello_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:81,"Warum denkst du, dass wir an deinen Diensten interessiert sind?",你怎么认为我们会接受你的服务？,,,DIA_Gomez_Hello_11_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:84,"Ich hoffe ich muss dir nicht erst den Kopf abhacken, um mich zu beweisen.",我希望不用砍掉您的脑袋来证明我自己。,,,DIA_Gomez_Hello.DIA_Gomez_Hello_KopfAb,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:85,Weil hier nur Schwachköpfe rumrennen.,这里只有傻瓜。,,,DIA_Gomez_Hello.DIA_Gomez_Hello_Spinner,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:86,Ich bin viel rumgekommen und habe gute Kontakte in allen Lagern.,我游历了很多营地。并和所有的营地均有联系。,,,DIA_Gomez_Hello.DIA_Gomez_Hello_Kontakte,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:87,Ich habe die Prüfung des Vertrauens bestanden.,我通过了信仰考验。,,,DIA_Gomez_Hello.DIA_Gomez_Hello_ThorusSays,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:92,"Ich habe die Prüfung des Vertrauens bestanden und Thorus sagt, ich bin ein guter Mann.",我已经参加了宗教训练，索拉斯说我通过了。,,,DIA_Gomez_Hello_ThorusSays_15_00,,
