location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:20,"... Sterblicher? ... Wer, ich? ... Ich geh ja schon!",．．．凡人？．．．谁，我吗？．．．好，我来了！,,,Info_Saturas_EXIT_15_01,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:55,Moment... Wer... Wer spricht hier.,．．．谁．．．．谁在和我说话？,,,Info_XardasDemon_INTRO_15_01,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:57,DUUUU sprichst zu mir ??? Wie ... wie kommst du in meinen Kopf?,你在跟我说话吗？你怎样才能引起我的注意？,,,Info_XardasDemon_INTRO_15_02,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:59,Du bist was? ... der Diener deines Herren?,你是谁？．．．主人的奴仆吗？,,,Info_XardasDemon_INTRO_15_03,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:60,Du erscheinst mir eher wie eine Kreatur der Hölle!,你似乎是从地狱里来的生物！！！,,,Info_XardasDemon_INTRO_15_04,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:62,Ich soll schweigen?,你想让我安静吗？,,,Info_XardasDemon_INTRO_15_05,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:74,Heißt Dein Herr und Meister zufällig Xardas?,你的主人也许叫萨尔达斯吧？,,,Info_XardasDemon_MASTERWHO.description,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:87,Heißt dein Herr und Meister zufällig Xardas?,你的主人也许叫萨尔达斯吧？,,,Info_XardasDemon_MASTERWHO_15_01,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:89,Aha ... Namen sind also unwichtig ... Okay.,噢，对．．．名字并不重要．．．好。,,,Info_XardasDemon_MASTERWHO_15_02,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:90,"Ich gehe einfach mal davon aus, dass das hier der Turm von Xardas ist.",这是萨尔达斯的塔吧。,,,Info_XardasDemon_MASTERWHO_15_03,,
